Date & Time,Average EAR,Eye Status
2025-12-01 03:31:46,0.015813653486202433,EYE_DROOPING
2025-12-01 03:37:21,0.023723602873233433,EYE_STABLE
2025-12-01 03:38:08,0.024763038695448696,EYE_STABLE
2025-12-01 03:55:59,0.0245712680725364,EYE_STABLE
2025-12-01 04:04:20,0.015169554154078165,EYE_DROOPING
2025-12-01 12:04:17,0.017969181876123688,EYE_DROOPING
2025-12-02 12:35:36,0.02109751270080988,EYE_BORDERLINE
2025-12-02 13:48:39,0.025617551239761147,EYE_STABLE
2025-12-02 13:56:22,0.01871146499177159,EYE_BORDERLINE
2025-12-04 21:15:33,0.0434029501580312,EYE_STABLE
2025-12-04 23:00:38,0.018692561664090498,EYE_BORDERLINE
2025-12-05 11:02:40,0.025894536355207134,EYE_STABLE
2025-12-05 12:04:30,0.015901532665155177,EYE_DROOPING
